LATITUDE,LONGITUDE,UTM_X,UTM_Y,UTM_ZONE,DATE,TIME,SATELLITE,CONFIDENCE,ORG,TUMBOON,AUMPER,PROVINCE,NAME,ZONE 
15.23495,101.26276,743051,1685574,47P,17/02/2019,1312,S,1,NASA,หนองยายโต๊ะ,ชัยบาดาล,ลพบุรี,เกษตรกรรม,AGI
15.27115,100.7112,683757,1689040,47P,17/02/2019,1312,S,1,NASA,ยางโทน,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.27195,100.71583,684253,1689132,47P,17/02/2019,1312,S,1,NASA,ยางโทน,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.27607,100.16935,625559,1689199,47P,17/02/2019,1312,S,1,NASA,หางน้ำสาคร,มโนรมย์,ชัยนาท,เกษตรกรรม,AGI
15.27629,100.16622,625222,1689221,47P,17/02/2019,1312,S,1,NASA,หางน้ำสาคร,มโนรมย์,ชัยนาท,เกษตรกรรม,AGI
15.2791,100.82373,695837,1690018,47P,17/02/2019,1312,S,1,NASA,มหาโพธิ,สระโบสถ์,ลพบุรี,เกษตรกรรม,AGI
15.28117,100.82185,695633,1690245,47P,17/02/2019,1312,S,1,NASA,ชอนสมบูรณ์,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.2815,101.07369,722685,1690524,47P,17/02/2019,1312,S,1,NASA,บ้านใหม่สามัคคี,ชัยบาดาล,ลพบุรี,เกษตรกรรม,AGI
15.28282,100.82308,695763,1690429,47P,17/02/2019,1312,S,1,NASA,ชอนสมบูรณ์,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.28799,100.19283,628073,1690531,47P,17/02/2019,1312,S,1,NASA,อู่ตะเภา,มโนรมย์,ชัยนาท,เกษตรกรรม,AGI
15.28837,100.18967,627733,1690571,47P,17/02/2019,1312,S,1,NASA,อู่ตะเภา,มโนรมย์,ชัยนาท,เกษตรกรรม,AGI
15.29134,101.19949,736189,1691746,47P,17/02/2019,1312,S,1,NASA,นิคมลำนารายณ์,ชัยบาดาล,ลพบุรี,เกษตรกรรม,AGI
15.29498,101.19885,736116,1692148,47P,17/02/2019,1312,S,1,NASA,นิคมลำนารายณ์,ชัยบาดาล,ลพบุรี,เกษตรกรรม,AGI
15.36914,100.69831,682287,1699871,47P,17/02/2019,1312,S,1,NASA,ดงดินแดง,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.3697,100.69962,682427,1699934,47P,17/02/2019,1312,S,1,NASA,ดงดินแดง,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
15.3721,100.69299,681713,1700194,47P,17/02/2019,1312,S,1,NASA,ดงดินแดง,หนองม่วง,ลพบุรี,เกษตรกรรม,AGI
